,X,Y,PRIMARYDISTRICTCD,COMMON_NAME,TREEHEIGHT,DIAM,GENUS,HERITAGE,EXCEPTIONAL
2869,-122.303896143679,47.6179910705082,DISTRICT3,"Tupelo, Sour Gum",0.0,5,Nyssa,N,N
2870,-122.332050674731,47.6164631467125,DISTRICT7,Karpick Maple,0.0,3,Acer,N,N
2871,-122.342199999304,47.6575229988413,DISTRICT4,Pacific Sunset Maple,0.0,4,Acer,N,N
2872,-122.366151124841,47.6980801313802,DISTRICT6,Autumn Glory Hawthorn,0.0,6,Crataegus,N,N
2873,-122.332045343293,47.6230517639216,DISTRICT7,Sweetgum,0.0,9,Liquidambar,N,N
2874,-122.332698894321,47.6554607420768,DISTRICT4,(Smooth) Japanese Maple,0.0,8,Acer,N,N
2875,-122.265743005697,47.5582073040815,DISTRICT2,Serviceberry,0.0,2,Amelanchier,N,N
2876,-122.349241893815,47.5309518944469,DISTRICT1,(Smooth) Japanese Maple,0.0,4,Acer,N,N
2877,-122.392052532397,47.5656909240367,DISTRICT1,Black Locust,0.0,33,Robinia,N,N
2878,-122.351577916521,47.6203858192637,DISTRICT7,Raywood Narrowleaf Ash,0.0,2,Fraxinus,N,N
2879,-122.385237283943,47.6990811560167,DISTRICT6,Scots Pine,0.0,11,Pinus,N,N
2880,-122.308957538398,47.6852563551198,DISTRICT4,Common (Fruiting) Pear Tree,0.0,2,Pyrus,N,N
2881,-122.383639651043,47.5726536970359,DISTRICT1,(Smooth) Japanese Maple,0.0,1,Acer,N,N
2882,-122.322090264229,47.6173476055955,DISTRICT3,Scarlet Oak,0.0,19,Quercus,N,N
2883,-122.372022991686,47.6791111646778,DISTRICT6,Purpleleaf Plum variety,0.0,14,Prunus,N,N
2884,-122.401065260757,47.6453088063862,DISTRICT7,Honey Locust,0.0,9,Gleditsia,N,N
2885,-122.324495450531,47.6456183593401,DISTRICT4,Norway Maple,0.0,6,Acer,N,N
2886,-122.350503186744,47.6405672841513,DISTRICT7,Horse Chestnut,0.0,22,Aesculus,N,N
2887,-122.321337199547,47.6550875323322,DISTRICT4,Turkestan Mountain Ash,0.0,7,Sorbus,N,N
2888,-122.313165797501,47.5855786870896,DISTRICT2,White Column (Amanogawa) Flowe,0.0,7,Prunus,N,N
2889,-122.290724477359,47.6997046968945,DISTRICT5,Flame Narrowleaf Ash,0.0,21,Fraxinus,N,N
2890,-122.384522639852,47.6990323458095,DISTRICT6,Photinia species,0.0,6,Photinia,N,N
2891,-122.30572994166,47.6943474984137,DISTRICT5,Paperbark Maple,0.0,3,Acer,N,N
2892,-122.380032436611,47.6647513076197,DISTRICT6,Okame Cherry,0.0,9,Prunus,N,N
2893,-122.298434976511,47.6079313472474,DISTRICT3,Red Sunset Red Maple,0.0,15,Acer,N,N
2894,-122.271619261202,47.5563413725969,DISTRICT2,Japanese Snowbell Tree,0.0,4,Styrax,N,N
2895,-122.308025439097,47.666351705136,DISTRICT4,Purpleleaf Plum variety,0.0,7,Prunus,N,N
2896,-122.356477627226,47.6744065702527,DISTRICT6,Katsura Tree,0.0,7,Cercidiphyllum,N,N
2897,-122.330731815419,47.5982184255094,DISTRICT2,London Plane (Tree),0.0,31,Platanus,N,N
2898,-122.368261223766,47.6871502358247,DISTRICT6,American Smoke Tree,0.0,16,Cotinus,N,N
2899,-122.285953555689,47.7028732019515,DISTRICT5,Purpleleaf Plum variety,0.0,4,Prunus,N,N
2900,-122.362562352892,47.6512928353004,DISTRICT7,Trifoliate maple,0.0,2,Acer,N,N
2901,-122.281648797123,47.5594008925194,DISTRICT2,(Smooth) Japanese Maple,0.0,5,Acer,N,N
2902,-122.35309975628,47.7308053444611,DISTRICT5,Blireiana Purpleleaf Plum,0.0,7,Prunus,N,N
2903,-122.298681670033,47.5963898891411,DISTRICT3,Red Oak,0.0,28,Quercus,N,N
2904,-122.377769694324,47.6802536193264,DISTRICT6,Blireiana Purpleleaf Plum,0.0,8,Prunus,N,N
2905,-122.333367176591,47.6686265428241,DISTRICT6,Mountain Ash/Whitebeam,0.0,2,Sorbus,N,N
2906,-122.380215320269,47.6731469387031,DISTRICT6,Autumn Brilliance Serviceberry,0.0,5,Amelanchier,N,N
2907,-122.322235171898,47.6178551384297,DISTRICT3,Common (Euro) Mountain Ash,0.0,4,Sorbus,N,N
2908,-122.307812316614,47.6702029860238,DISTRICT4,Horse Chestnut,0.0,14,Aesculus,N,N
2909,-122.304410605912,47.6202829701399,DISTRICT3,American Hornbeam Native Flame,0.0,3,Carpinus,N,N
2910,-122.29310367887,47.5600219263137,DISTRICT2,Pacific Sunset Maple,0.0,6,Acer,N,N
2911,-122.267624872582,47.5510743502623,DISTRICT2,Largeleaf Crabapple,0.0,8,Malus,N,N
2912,-122.352572257005,47.6768498753203,DISTRICT6,(Smooth) Japanese Maple,0.0,1,Acer,N,N
2913,-122.390371238032,47.5857473974756,DISTRICT1,Thundercloud Purpleleaf Plum,0.0,16,Prunus,N,N
2914,-122.348032197375,47.6503217653899,DISTRICT6,Greenspire Littleleaf Linden,0.0,12,Tilia,N,N
2915,-122.304825206167,47.629875294593,DISTRICT3,English Midland Hawthorn,0.0,11,Crataegus,N,N
2916,-122.309781640341,47.716211009026,DISTRICT5,Purple Pony Plum,0.0,4,Prunus,N,N
2917,-122.325492341634,47.6655732669854,DISTRICT6,Vanessa Parrotia,0.0,3,Parrotia,N,N
2918,-122.350865391119,47.5265553544773,DISTRICT1,Horse Chestnut,0.0,2,Aesculus,N,N
2919,-122.306438206607,47.6620431340189,DISTRICT4,Norwegian Sunset Maple,0.0,9,Acer,N,N
2920,-122.321162887895,47.5505616240375,DISTRICT2,(American) Arborvitae,0.0,7,Thuja,N,N
2921,-122.362168828347,47.641919876198,DISTRICT7,American Hornbeam,0.0,1,Carpinus,N,N
2922,-122.315433547987,47.6588110445581,DISTRICT4,Thundercloud Purpleleaf Plum,0.0,15,Prunus,N,N
2923,-122.293085403428,47.584743768167,DISTRICT3,White Column (Amanogawa) Flowe,0.0,2,Prunus,N,N
2924,-122.339856222111,47.6251320217968,DISTRICT7,Scarlet Oak,0.0,8,Quercus,N,N
2925,-122.364084530002,47.6648635227273,DISTRICT6,Cherry/Plum/Laurel,0.0,7,Prunus,N,N
2926,-122.318099621731,47.5635451785744,DISTRICT2,Vine Maple,0.0,2,Acer,N,N
2927,-122.347842358379,47.676118595336,DISTRICT6,Red Oak,0.0,9,Quercus,N,N
2928,-122.403312759142,47.6820024849262,DISTRICT6,Dogwood,0.0,2,Cornus,N,N
2929,-122.302096340771,47.5994580106678,DISTRICT3,Crimson King Norway Maple,0.0,7,Acer,N,N
